7/15/2016 11:11:50 PM
3 1 1948 volts
Name	Area	Similarity	Match	R.T. (s)	Height	FWHH (s)	Tailing Factor	Peak S/N	Quant S/N	Base Mass	Quant Masses	CAS	Group	Type	Sample	Spectrum
Peak 26	3624291	206		428.069	202737	0.819	1.12	200	130	73.05	XIC(73.05±500ppm)			Unknown	Day 1 L-3 v-1	73.05164:299275.27 74.04824:28224.16 147.05751:104234.00 148.06341:15877.18 221.07420:13395.96 247.74147:360.90 251.32034:342.48 281.03336:83917.78 282.03580:24474.50 283.02594:15379.18 284.02489:2148.30 292.89329:396.09 297.53594:158.49 297.69759:213.73 298.72896:929.80 299.90292:805.79 309.86410:703.57 319.94934:225.52 322.92374:660.61 323.22856:122.18 324.35265:165.69 324.97109:7280.43 325.92904:3467.11 326.95949:39256.13 327.94732:13780.19 328.33016:1212.21 328.64200:314.39 328.95409:6247.36 333.34597:3047.19 333.50336:1139.44 333.72808:2578.53 335.81541:152.01 337.07586:108.39 337.19056:134.92 339.02846:182.33 340.99733:16536.32 341.94352:2972.33 342.87051:1085.63 351.21371:108.91 353.38294:86.78 359.04235:178.97 359.63446:107.56 360.08317:397.45 361.47310:145.18 361.71068:145.86 363.31643:133.24 363.61418:144.75 364.65276:348.84 365.40324:178.35 365.94082:97.08 371.09759:107.04 381.03147:161.56 381.70247:104.68 382.96359:4097.06 383.97980:3446.02 384.93462:5026.67 386.03994:2280.03 386.95299:1781.47 388.56803:107.19 389.67713:131.62 394.06735:141.07 398.98306:11251.78 399.96097:7626.52 400.97202:5251.62 401.85638:210.51 402.07294:614.71 403.86263:102.53 404.67910:145.13 413.15009:708.82 415.01798:24636.39 416.00042:11651.49 417.00621:8191.06 418.00954:2511.40 418.47223:641.55 418.59050:280.90 419.09881:552.03 421.36087:865.88 421.56637:272.02 421.72509:474.23 422.25145:3801.20 422.69126:381.30 422.88039:396.56 425.48769:137.07 426.58375:96.88 429.55664:103.67 431.86482:259.01 438.47185:85.93 451.41533:149.81 451.98320:76.53 468.46754:100.42 470.87422:312.62 471.54770:136.61 471.61732:132.69 471.92199:104.63 474.64024:99.67 475.11674:203.24 476.68406:114.11 482.05557:289.24 483.69790:310.32 487.24477:178.12 489.27994:398.09 490.83687:98.74 492.98459:111.42 503.08794:17439.47 504.09303:10528.55 505.07538:6480.19 505.51042:496.98 505.93962:650.27 506.21427:921.11 506.46137:225.41 507.02392:228.93 507.33860:471.77 508.39957:234.71 518.01677:273.20 531.86904:84.59 532.27330:307.90 535.04357:82.46 544.69676:86.68 550.69136:150.75 551.86487:122.74 563.04536:214.49 565.67284:90.31 568.54253:292.59 569.99021:80.10 575.55703:203.06 575.93763:228.31 580.62960:99.91 582.73912:154.61 583.60051:211.18 585.53257:177.94 590.65973:467.22 592.08562:239.32 592.77281:241.27 596.16286:83.31 596.73766:325.73 597.98990:395.46 598.94300:232.89 599.44708:88.10
Peak 27	1353465	21		441.728	84705	0.774	1.43	83	66	73.05	XIC(73.05±500ppm)			Unknown	Day 1 L-3 v-1	73.05105:128455.07 120.98988:11979.94 207.81278:1250.13 223.02853:17650.18 223.67906:494.59 224.00927:2845.82 266.34313:271.60 283.69164:525.49 294.82598:480.77 296.62074:120.00 297.69759:156.33 298.53718:279.63 312.70226:179.99 316.46942:177.89 323.90278:221.97 324.97747:6208.40 325.90563:1061.64 340.98437:13885.24 341.44830:327.98 341.93985:2861.75 355.05621:2126.35 361.02184:247.46 366.86724:132.40 366.98869:298.31 368.66949:170.56 370.25565:109.25 371.68339:363.08 376.10546:374.06 390.47913:102.31 392.45681:92.31 394.62561:99.76 397.89247:334.80 402.70286:195.22 413.07957:109.48 414.54104:124.44 415.36823:107.34 423.74979:157.59 427.64846:234.37 428.45676:131.45 429.05071:5892.18 430.00994:452.78 430.46348:248.39 431.89045:188.17 435.88797:304.60 448.13967:97.62 453.06075:447.71 453.22147:277.95 457.74024:270.22 457.88145:128.21 458.24723:105.00 467.72413:92.52 473.75595:133.70 475.55665:248.90 485.24722:110.25 489.24643:108.68 491.45992:112.54 500.15424:135.37 506.44924:348.13 509.45785:294.76 513.27493:211.86 528.56631:312.15 528.84762:213.89 529.32265:244.81 530.64505:87.99 530.93292:117.27 531.79700:96.18 535.18809:129.95 543.60373:125.01 544.25941:110.75 548.64073:96.21 549.44588:99.65 550.98462:140.08 552.23184:136.34 555.54013:122.85 562.59623:250.13 562.85313:79.91 576.19706:107.45 582.82560:382.61 586.17152:246.72 587.69594:357.06
Peak 28	14305765	783		459.613	992537	0.743	1.05	629	242	57.08	XIC(57.08±500ppm)			Unknown	Day 1 L-3 v-1	55.06608:325585.95 56.07211:258776.48 57.07911:1561785.98 58.08274:71597.89 68.07228:20484.96 68.38141:926.68 69.07493:142505.11 70.08134:155149.17 70.30174:5659.00 71.08842:869941.57 71.47497:701.42 72.11858:22241.45 83.11161:37234.88 83.22397:2588.77 83.81436:410.82 84.08967:80256.18 85.09894:519269.75 86.10212:38466.81 86.71085:1666.51 96.13472:4246.95 97.09550:57578.31 98.10299:61513.90 99.11069:130784.65 99.66144:807.64 112.12027:34193.96 113.12413:66870.49 114.17765:3812.37 126.13053:27682.50 127.13763:46946.91 140.16587:14091.98 141.15147:30702.57 142.17122:2344.88 154.16248:13354.29 155.16656:26743.48 169.19109:15661.11 174.48745:184.41 182.21996:2562.56 182.32898:488.96 183.19483:9699.29 197.23171:3173.21 197.47483:310.15 226.24926:23017.44 227.25595:3908.71 275.49364:183.10 306.60141:100.84 317.47039:113.84 319.64458:104.49 322.72335:118.94 324.35265:130.86 326.68733:575.50 349.37108:262.11 367.67569:78.33 378.45816:641.45 382.31297:175.03 392.79583:288.60 394.99800:99.46 397.17381:111.63 401.60595:102.83 409.46880:99.87 410.92387:88.15 427.61663:82.14 435.10824:197.15 440.92658:193.27 441.00891:298.71 443.09396:252.73 443.35698:147.92 443.42446:138.94 447.41258:90.48 455.30976:89.34 455.97654:110.40 456.46868:545.81 460.45653:131.03 461.29841:178.92 462.87274:204.41 463.74681:79.82 465.56483:126.70 467.82779:334.13 473.38558:178.41 484.83445:96.84 486.51858:240.33 492.33291:308.37 495.27603:89.16 496.13738:193.41 498.06065:77.98 501.13275:119.61 505.26699:131.88 509.20673:134.15 511.99618:204.54 513.62160:307.26 513.86965:117.00 515.99618:229.03 517.13213:95.05 518.58469:270.31 519.80039:288.05 529.78190:96.65 540.11343:86.34 543.67657:78.66 544.14514:210.68 546.00983:83.27 548.56757:94.00 554.47253:291.79 561.00190:77.85 571.70681:120.38 575.85199:399.82 582.85768:146.40 588.33271:76.96 594.25758:88.98 599.14119:102.81
Peak 29	368310	127		470.039	19588	0.896	1.25	48	62	100.93	XIC(100.93±500ppm)			Unknown	Day 1 L-3 v-1	100.93148:24434.06 102.90216:8267.44 230.76516:178.23 250.40392:424.06 319.70042:138.44 354.08790:86.02 375.34952:161.41 375.41379:151.71 379.32615:148.88 386.35456:177.73 411.49395:137.13 413.33356:101.61 414.31666:167.11 425.35682:505.84 432.96672:287.81 434.55610:80.16 436.83815:98.40 437.42593:102.67 438.53726:90.78 438.95884:207.63 440.37076:115.64 440.69857:101.45 441.69666:334.53 441.94537:89.12 443.95732:200.31 447.25005:352.43 449.19832:119.99 458.78233:140.84 460.29126:154.72 463.99485:139.55 466.25321:656.02 477.46832:282.57 482.49871:93.01 483.56036:190.66 484.24068:721.71 485.42237:349.79 506.42446:262.54 506.77723:228.73 508.92628:952.42 512.30546:290.28 513.37409:99.64 514.11140:149.56 516.54636:297.13 517.31379:268.43 519.86322:194.76 525.76318:97.55 532.62270:160.99 539.50259:125.10 542.98458:381.63 543.92769:163.90 559.41221:257.62 565.78424:219.36 566.41605:78.31 571.97156:250.27 580.78015:101.92 582.36214:105.16 583.33372:478.63 590.38027:117.17
Peak 30	17523894	208		476.491	1091176	0.783	1.20	1426	1034	105.03	XIC(105.03±500ppm)			Unknown	Day 1 L-3 v-1	50.03136:124972.41 51.03816:401244.67 51.25023:8609.07 51.39903:3556.45 74.01769:22568.75 74.17575:3027.35 75.02699:31023.08 76.03616:83998.75 76.51152:3140.57 77.04067:997599.90 77.53518:19107.81 77.68623:2510.30 78.04444:63550.07 78.40497:2592.46 78.59733:2814.10 78.73618:3791.79 105.02793:1483442.66 105.61656:1650.55 105.84779:542.06 106.03081:116251.42 106.87814:476.19 151.12885:6293.66 152.06063:43607.13 153.06690:28030.59 153.24769:2856.68 154.07114:23703.13 154.54933:437.69 181.06075:81533.91 182.06157:509364.45 182.60163:757.30 183.06297:71523.37 184.06875:5837.01 184.25130:775.28 243.80185:170.44 309.45198:116.75 378.29264:88.98 381.58042:80.82 393.38556:128.47 410.16876:633.56 411.36723:112.36 424.90799:80.27 427.56552:435.01 443.74798:310.47 445.30076:121.38 447.21438:101.05 462.97504:297.56 483.73458:141.71 498.40928:159.91 498.58297:657.33 501.90226:136.82 508.92482:80.00 514.04462:142.09 514.19545:380.84 520.17843:216.79 522.00543:268.62 524.18858:88.54 525.26191:122.32 539.82308:92.11 548.45881:274.43 549.04540:285.41 549.22624:101.17 549.88530:103.94 552.89271:108.87 554.95858:440.04 555.54013:150.02 556.83308:206.11 557.08737:92.66 557.45608:92.44 558.30759:350.09 560.66066:162.89 566.66931:204.16 582.13601:116.21 583.60977:207.97 587.00322:332.20 587.42382:129.57 599.17654:423.72
Peak 31	2250374	2		477.107	132202	0.805	0.92	155	90	73.05	XIC(73.05±500ppm)			Unknown	Day 1 L-3 v-1	73.05234:181761.16 147.06057:30882.28 221.06369:28704.17 222.06131:6385.66 251.86529:278.68 281.19322:3536.00 324.01522:79.96 352.81518:184.70 354.54536:266.99 355.04381:42073.36 356.04169:15517.45 357.04709:9770.12 357.59122:335.58 357.91869:276.94 359.04235:218.21 370.91709:95.56 382.92397:119.14 383.10736:143.50 384.99468:1084.38 385.31756:740.41 385.49548:193.61 386.87910:563.54 391.52915:110.04 391.83825:118.23 399.01265:360.64 399.35559:141.53 400.96176:14840.00 401.95446:5718.69 402.42013:148.75 402.60814:155.12 402.95916:2519.98 407.38560:149.24 414.99532:4856.45 416.02303:1395.19 423.36407:173.93 424.00703:168.85 452.00581:145.55 453.70379:208.61 456.94566:358.99 469.12938:218.45 471.38404:553.33 489.01815:1394.69 490.06361:811.45 490.32703:190.94 502.45870:284.21 513.02026:103.51 517.54115:306.33 527.38904:430.49 544.47806:115.14 548.84190:123.28 569.02109:88.42 577.05811:461.65 577.57455:286.20 577.66147:189.17 578.21274:737.74 578.59904:80.14 580.81980:237.11
Peak 32	1697822	159		477.994	53275	1.006	1.86	52	149	84.97	XIC(84.97±500ppm)			Unknown	Day 1 L-3 v-1	84.96608:57311.26 175.64440:211.52 275.90853:85.05 300.88568:134.22 349.48242:274.51 350.45314:124.49 392.33305:125.59 392.58058:133.19 393.65845:227.88 396.55154:106.60 406.72689:334.34 425.94073:466.75 427.87504:88.32 441.84096:253.27 445.43260:81.38 450.45708:132.90 468.67040:164.03 480.61791:165.72 481.74424:89.55 483.04779:100.68 484.29360:435.80 485.10961:98.48 488.07255:129.44 493.62315:374.58 496.31934:83.60 498.44256:209.45 499.38608:85.45 499.97654:151.37 502.67235:133.71 507.40978:155.27 507.62394:488.18 509.31197:229.04 511.00849:330.01 512.38369:79.60 514.47489:267.23 518.58491:254.95 519.90623:182.81 522.61635:80.88 523.04490:118.00 528.09536:431.77 529.16914:308.84 532.05438:251.58 532.27147:347.45 536.29917:426.71 539.06302:171.77 540.01263:138.76 542.58457:79.16 546.44788:105.73 547.32449:123.39 547.72038:289.92 550.35838:240.84 555.54013:109.43 563.33297:196.94 566.45893:394.76 567.30853:113.72 568.36311:229.44 577.24731:166.85 590.04029:245.25
Peak 33	14622285	83		480.183	577892	1.164	2.73	785	1149	84.97	XIC(84.97±500ppm)			Unknown	Day 1 L-3 v-1	66.97231:20532.58 69.00018:200884.54 84.96545:833985.96 85.95895:6482.47 86.96195:262573.99 92.95932:11668.48 100.93283:380920.40 102.93111:246048.03 104.93295:22530.09 108.96525:14527.13 115.96396:103471.53 116.93800:6298.08 117.95972:31258.64 130.98859:254238.37 131.21626:7434.30 131.93909:10683.72 133.91886:4533.64 134.95456:287631.91 135.95027:6081.91 136.95101:93825.26 142.95888:6183.24 146.96129:131895.86 147.19947:6417.19 148.96032:38135.26 150.92431:209350.80 151.90444:2678.47 152.92045:136875.70 154.93497:28712.34 162.93410:69703.77 164.92707:46524.80 166.92074:7388.00 178.90862:10969.81 180.87905:8980.41 182.89944:2708.00 184.89609:10611.41 186.93439:7227.20 196.92940:8880.99 200.91611:97612.48 202.91176:62559.62 203.91131:1653.98 204.92578:10249.85 212.88662:11065.04 214.87029:2611.41 214.98083:4791.66 216.88847:16396.32 218.87764:12985.83 220.87355:3909.32 224.93764:2468.61 226.91429:904.41 228.89636:2132.59 230.81260:740.19 232.88422:1214.81 239.38424:214.47 246.71396:491.45 246.95720:2123.07 250.90226:13585.79 262.90828:9055.10 264.89332:4685.13 266.86501:13196.01 268.87670:15198.65 270.86985:5469.96 274.92367:396.24 278.89564:2325.27 289.46944:610.76 302.83930:220.44 306.54672:145.53 314.50038:353.00 316.86817:2341.70 318.83712:1788.31 319.42124:79.67 320.90450:1372.65 334.81520:1720.41 336.87485:641.60 356.76581:300.73 358.89971:267.73 359.69370:89.45 360.16777:148.26 365.40324:93.92 367.73559:128.22 372.51154:288.64 377.68536:124.33 384.48144:363.40 384.78267:777.37 385.74083:142.22 387.95254:167.14 397.57865:325.39 403.61158:129.44 422.46992:326.58 433.15550:349.13 433.61511:181.96 435.30124:217.71 437.81800:139.95 440.08991:205.62 440.96091:76.73 443.32546:139.12 443.65437:79.74 445.85192:157.03 447.80910:91.36 448.17099:202.07 449.79435:96.57 455.07769:210.81 456.91085:116.64 465.53707:263.47 480.78486:91.44 484.25784:207.43 486.18868:618.72 486.38373:304.94 489.76110:184.22 491.32143:89.09 493.56414:313.74 496.66736:126.71 505.26699:117.17 507.54252:314.47 507.69824:127.33 510.93779:249.98 522.61635:90.62 527.08502:284.21 530.42919:84.40 531.50889:106.73 532.66179:100.00 538.92206:260.46 541.71062:464.22 542.54794:209.85 543.41594:201.32 550.79219:237.33 551.49801:90.19 557.41909:270.12 560.77995:92.52 564.81564:549.55 568.38506:200.68 570.77341:327.16 574.36054:189.86 574.91766:436.87 581.53321:88.83 593.64854:77.10 597.68928:91.23
Peak 34	5913692	112		482.981	200163	0.895	0.33	262	327	84.97	XIC(84.97±500ppm)			Unknown	Day 1 L-3 v-1	84.96530:261709.76 86.96175:86044.26 100.93226:248455.49 102.93130:163056.77 115.96443:52564.84 130.98724:54745.44 134.95319:113897.52 136.93591:20699.47 146.96096:41941.30 152.97680:19439.45 154.91939:4504.85 200.91332:30341.46 227.78583:146.76 271.82518:229.32 288.84595:311.24 296.48301:194.85 316.80290:428.68 321.77015:167.16 338.45358:114.50 339.60383:79.51 346.66264:103.92 346.83713:152.20 351.27225:117.70 352.53168:333.62 352.97203:157.90 354.00409:310.28 361.23559:94.79 361.50787:308.84 362.30499:84.13 362.50564:307.26 366.62809:409.46 372.66372:94.12 374.19847:194.97 378.46748:253.92 379.20449:123.34 386.69361:339.41 392.11393:345.73 392.58058:133.47 417.59938:86.42 422.36912:319.06 424.94331:276.43 425.71305:146.20 425.77864:153.30 426.22536:160.34 428.19817:88.58 437.52378:358.67 440.63300:93.68 442.40516:113.91 453.27756:219.54 467.38641:115.16 477.77589:107.71 480.89034:388.35 483.83844:266.50 487.72756:108.41 498.13036:79.49 502.70578:139.98 502.77830:134.56 503.58322:79.10 503.86365:100.06 512.31759:292.48 520.69002:90.14 530.35725:178.31 541.13028:85.05 557.85816:198.73 559.78343:657.55 575.82220:128.72 587.23689:281.76 588.33271:89.38 591.13952:163.88 594.02915:132.55 595.40038:104.12 596.96752:250.59 600.09329:230.68
Peak 35	52289	45		488.509	3110	0.674	2.50	12	21	224.99	XIC(224.99±500ppm)			Unknown	Day 1 L-3 v-1	223.37650:591.28 224.98935:2429.34 283.64033:160.69 292.54650:185.22 298.02103:244.35 323.56558:110.94 326.40197:365.87 337.16309:258.29 358.60117:406.89 361.17623:178.24 362.16367:313.78 363.49506:121.18 363.79289:98.45 380.56930:262.54 391.96192:135.21 399.60532:108.91 415.67760:475.11 424.23017:274.02 427.07415:247.34 432.05472:359.84 441.35456:87.72 451.61014:752.64 455.30976:95.88 455.54187:225.28 458.11350:127.49 462.73834:138.17 468.12956:148.60 474.27155:233.83 476.00230:170.18 483.18511:82.70 486.93892:272.43 499.84329:219.95 500.01453:116.24 503.36600:685.86 507.65715:133.50 519.83501:152.36 520.54747:101.22 522.24790:709.64 523.07749:178.32 523.47364:116.45 525.58431:245.37 529.45836:212.21 542.22081:119.83 543.67657:101.67 545.83204:235.42 555.20829:315.62 556.09447:184.21 569.87254:233.93 573.68503:266.39 583.64437:139.18
Peak 36	320727	25		488.659	19854	0.820	1.02	74	103	223.03	XIC(223.03±500ppm)			Unknown	Day 1 L-3 v-1	223.03374:22639.26 223.30704:911.31 223.43872:527.11 224.02160:4571.03 302.87406:359.43 326.32451:205.26 337.24792:108.09 365.14065:136.30 412.38152:76.60 423.23553:105.39 426.71280:86.02 466.79667:162.44 484.45525:265.26 489.67514:191.96 491.52860:334.58 502.25222:83.23 504.77560:79.35 509.52880:216.74 541.96926:291.17 544.65171:170.56 557.63790:361.12 569.76649:92.70 570.25536:212.30 573.57208:114.46 581.60854:76.37 583.56891:93.15
Peak 37	1564202	63		489.86	50279	1.257	2.07	76	98	84.97	XIC(84.97±500ppm)			Unknown	Day 1 L-3 v-1	84.96530:61390.69 131.00486:19790.16 296.72834:134.43 368.72937:206.87 372.06097:110.88 375.86643:95.13 379.53822:263.93 389.36889:104.36 409.97462:129.29 424.62323:225.93 444.77358:162.19 445.63040:99.31 445.76229:114.93 449.86060:95.57 451.42406:189.62 455.28441:300.84 456.27837:348.84 457.91295:114.07 460.38951:81.26 461.36220:262.51 463.94864:84.19 471.34274:222.46 473.58604:384.26 484.18068:200.41 493.53960:90.62 495.31166:266.35 496.38894:121.39 496.70963:174.77 497.01550:142.10 498.33954:77.61 498.65301:271.75 498.94613:599.18 500.85308:122.30 507.62259:242.30 508.43165:93.71 509.98241:83.53 512.20666:211.15 515.28685:102.91 521.75976:97.94 528.05772:92.24 533.52727:90.46 534.14744:404.13 535.37052:289.03 539.53281:96.55 541.49366:96.74 543.23963:95.50 543.60373:188.22 556.82855:138.29 556.90624:157.42 564.63318:118.68 568.86278:275.58 570.66161:121.90 571.37211:185.63 571.89718:208.69 575.59734:109.57 587.12102:128.37 596.50011:180.66 596.66565:355.34 600.09889:286.95 600.28868:138.35 600.53758:125.16
Peak 38	4099213	84		493.673	262723	0.794	1.06	2234	2151	399.61	XIC(399.61±500ppm)			Unknown	Day 1 L-3 v-1	78.92442:38342.69 79.44525:26813.87 79.97496:173764.80 80.44551:29217.63 80.94408:65761.65 81.43106:730.51 90.92535:20849.38 92.91653:17622.17 114.92105:37840.04 116.91766:41165.51 117.88502:1402.96 118.89822:22934.19 119.39330:629.53 119.89534:56441.27 120.40124:4279.34 120.89463:30468.20 121.39551:1477.33 122.88838:20116.14 124.88525:18664.70 126.91510:8728.70 128.87661:3759.19 134.86278:6354.87 136.86424:6481.47 146.80702:838.03 148.87706:4982.19 158.88837:103312.59 159.06228:11767.14 159.34289:5554.02 159.88517:22968.45 160.34053:4096.62 160.88863:114948.08 161.35678:1615.08 161.88829:19984.04 162.83441:2309.93 173.82715:943.73 183.85074:4082.12 193.84247:5957.63 195.84365:13894.17 196.79960:1024.83 197.82013:9990.22 198.80424:19097.52 199.80375:28857.76 200.80306:18655.32 201.80967:5762.84 205.79304:851.80 207.77172:1498.68 209.81873:512.24 237.79511:72758.85 238.80071:10404.86 239.79798:150394.74 240.80557:19211.74 241.79284:78746.92 242.79516:12953.34 243.46060:397.34 243.79350:7234.84 244.55858:660.60 244.83230:2045.08 244.95064:686.31 245.29087:975.89 245.67025:781.03 247.44656:838.58 247.59435:803.28 247.76800:236.35 264.46046:224.73 272.74698:2966.48 274.74258:8119.67 276.73566:7704.77 278.82150:372.19 285.53720:116.51 307.72289:355.03 312.53659:89.35 315.77490:405.08 316.70772:41202.55 317.70159:9910.77 318.70057:122753.05 319.71651:28695.52 320.69823:124430.01 321.70892:28258.69 322.70200:49187.58 323.36619:1209.17 323.70413:12894.87 324.77196:21510.64 325.36600:352.37 325.53505:308.10 325.76384:1481.86 326.40057:2566.25 326.80591:10209.64 328.67033:1574.61 345.73275:150.24 349.43014:329.32 350.68707:156.10 351.99833:283.75 353.76279:310.48 359.60288:326.31 362.72129:164.39 364.30295:464.98 366.65820:144.19 368.09507:113.60 372.12122:86.32 372.54313:94.61 375.50317:113.33 378.17115:101.97 380.14772:162.40 381.67154:245.46 388.75277:115.82 389.80046:132.99 394.43948:133.81 395.61145:50921.52 396.63724:5314.75 397.61409:203761.37 398.60505:14688.80 399.61150:315200.87 400.58980:18882.22 401.61119:210295.31 402.60576:13092.99 403.60090:55337.47 404.63702:4218.49 405.52987:902.99 406.59515:390.24 411.08305:469.95 417.50808:290.00 418.77988:188.65 419.77250:111.81 431.98979:333.87 434.32512:251.26 435.46821:129.22 437.32706:233.84 441.35456:117.55 442.76867:284.60 447.94131:158.78 449.18331:405.39 453.91112:89.04 458.00564:213.88 458.87783:193.06 459.88621:204.24 464.01593:81.18 472.19346:167.44 473.11744:177.51 476.00230:103.74 478.04904:94.95 480.37399:106.76 483.59718:125.30 486.07330:138.39 488.55574:118.71 492.39888:151.93 495.31171:361.37 497.12297:350.06 499.70348:278.30 511.95952:107.69 523.14785:147.94 523.40217:105.52 525.72617:298.88 526.08409:205.74 526.51528:180.84 528.88518:174.43 530.86094:132.62 531.43551:536.60 531.61797:177.07 540.33125:111.44 543.23963:81.00 558.52622:171.40 560.70598:144.94 563.18305:365.44 563.33674:146.21 567.97836:75.88 568.87207:89.20 572.86983:200.26 594.48605:133.30 597.38384:144.10
Peak 39	11505325	153		503.187	738210	0.787	1.08	3514	5039	283.79	XIC(283.79±500ppm)			Unknown	Day 1 L-3 v-1	46.98623:52091.96 48.97239:10964.30 70.97527:125257.45 71.46832:4677.31 71.98914:54846.18 72.97375:25864.27 82.97247:17421.05 88.45236:32505.07 89.44990:31090.48 89.94032:2052.05 90.44685:9111.35 93.92178:5734.22 94.97344:36680.43 95.90089:3059.87 96.94178:7446.79 105.93403:82988.47 106.44177:3652.87 106.95411:232597.78 107.24730:2124.79 107.43251:8830.99 107.93833:74247.07 108.28554:2055.27 108.43084:6543.79 108.67556:927.86 108.96033:60111.66 109.42849:9640.65 109.92074:3381.59 117.93556:75739.13 119.93370:47636.77 120.89916:772.19 121.88527:2787.79 123.41107:15311.85 124.41186:21725.50 124.89870:2823.63 125.40983:15716.88 125.90894:2744.73 126.40798:6029.61 126.89433:1517.07 129.93685:13001.34 131.93587:8607.93 140.89615:59574.40 141.39963:3261.43 141.92261:323320.86 142.39000:9650.37 142.60006:457.56 142.89912:102726.63 143.38790:6085.51 143.92610:185593.73 144.90780:24118.09 145.54290:1259.09 145.65385:819.11 145.92712:26560.43 146.48587:1636.24 146.63796:1130.63 146.74860:1220.49 154.88110:3184.17 164.87187:4202.94 166.91008:7284.59 168.84120:617.48 173.55856:809.79 176.90987:91808.43 177.90516:6533.13 178.90280:88999.98 179.45144:1146.05 179.91193:13376.66 180.89990:29503.65 181.52590:3162.37 181.92148:8489.46 182.85887:2705.31 183.42703:532.35 183.57402:860.73 183.65992:429.56 183.78710:714.17 187.87254:2232.14 211.86777:114550.71 212.87166:8970.94 213.86491:149122.37 214.87076:18556.61 215.35105:2476.75 215.86423:79193.82 216.85154:14688.83 217.83564:11409.35 218.56532:5561.40 218.83896:5220.89 219.61156:291.88 219.87055:3591.41 220.32940:654.03 220.77126:4411.68 222.63027:249.66 234.84185:1453.39 236.82732:2829.79 238.82302:1297.60 246.82888:151477.01 247.52225:205.26 247.83825:25224.81 248.82951:255885.42 249.82921:47068.26 250.82440:169744.52 251.82985:36016.53 252.82124:58340.35 253.12860:16528.20 253.82172:15153.03 254.83216:11307.70 255.27038:2124.22 255.92132:922.21 256.49617:233.63 275.67735:486.94 281.79365:469976.48 282.78925:31998.65 283.78997:901694.00 284.79134:60653.70 285.78719:726197.59 286.78931:49410.43 287.78646:308522.42 288.78327:21471.55 289.78095:74511.28 290.78354:5421.83 291.77312:10190.69 292.78464:526.89 293.24141:198.12 293.69562:712.66 294.22912:452.31 339.00271:362.28 346.83713:138.68 356.67879:86.61 367.19670:85.83 410.95390:232.95 412.76220:143.78 420.22061:150.38 420.54084:98.38 426.90639:99.20 428.06891:89.00 444.99883:183.55 446.85471:160.54 466.94392:197.64 472.39712:80.95 474.12458:229.50 484.03968:260.99 488.41766:107.77 493.33143:171.46 494.20092:238.94 494.62001:284.91 497.12490:247.78 501.97224:89.78 511.18234:88.40 520.76130:118.40 525.11874:101.07 528.02116:177.35 528.73549:305.49 529.59967:287.25 530.42919:103.72 530.57309:95.16 531.75965:154.36 532.47463:320.19 536.27262:93.61 541.74982:171.97 542.33452:238.33 543.06343:175.77 544.69676:119.63 549.88391:656.84 554.95126:192.87 558.26767:82.27 565.56317:188.71 572.48818:542.19 573.94974:187.89 575.63870:232.89 575.85817:196.51 581.08132:86.60 582.73912:149.61 583.87080:131.37
Peak 40	472265	98		511.671	25216	0.850	1.58	66	64	253.00	XIC(253.00±500ppm)			Unknown	Day 1 L-3 v-1	89.33218:271.02 239.84206:368.13 252.99841:33155.16 253.30480:936.71 254.89799:659.30 294.49962:316.42 295.81438:93.65 300.37003:331.41 331.03357:9470.75 346.07752:4648.21 351.71313:236.96 353.79408:78.82 359.69370:135.64 361.77390:355.72 364.80453:558.27 366.06033:99.90 371.57912:245.72 372.69627:223.86 373.02560:144.58 384.60099:321.82 397.98349:103.30 416.76997:111.08 417.59938:86.95 424.32869:148.09 425.23000:152.78 433.60887:205.07 435.05570:805.34 436.67122:152.65 443.06791:546.15 446.35604:83.43 447.90971:244.67 458.71543:122.21 460.52356:93.87 462.73834:109.58 477.29806:107.38 484.62813:97.54 487.77344:228.80 505.75862:113.93 514.36545:91.66 517.77165:96.17 519.90623:81.82 523.18780:103.60 523.61659:98.65 526.94608:205.51 527.69887:141.65 534.10466:84.07 538.58996:79.47 539.09755:115.66 539.57127:220.33 540.76701:108.83 560.33620:145.75 571.55744:132.46 573.35119:81.27 574.13454:305.49 578.93794:233.26 579.76486:251.58 581.57126:183.43 582.06064:85.92 584.85247:77.00 585.41925:312.17 600.54038:107.20
